Rank,Name,week,DB,MAN %,FP/DB,ZONE %,FP/DB,1-HI/MOF C %,FP/DB,2-HI/MOF O %,FP/DB,COVER 0 %,COVER 1 %,COVER 2 %,COVER 2 MAN %,COVER 3 %,COVER 4 %,COVER 6 %,Season
8,DEN,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
9,ARI,5,44,0.273,0.19,0.682,0.37,0.614,0.34,0.341,0.3,0.023,0.25,0.045,0,0.364,0.205,0.068,2022
10,MIN,5,44,0.205,0.77,0.773,0.27,0.25,0.86,0.727,0.21,0.045,0.136,0.432,0.023,0.136,0.045,0.159,2022
11,WAS,5,43,0.209,0.76,0.698,0.55,0.395,0.63,0.605,0.46,0.023,0.186,0.256,0,0.186,0.186,0.07,2022
12,GB,5,41,0.537,0.31,0.439,0.32,0.512,0.26,0.488,0.57,0.171,0.317,0.024,0.049,0.195,0.195,0.024,2022
13,PHI,5,40,0.125,0.18,0.825,0.34,0.525,0.26,0.475,0.37,0.075,0.05,0.125,0,0.475,0.1,0.125,2022
14,DET,5,39,0.564,0.21,0.359,0.23,0.641,0.27,0.359,0.09,0.051,0.513,0.077,0,0.128,0.128,0.026,2022
15,BUF,5,39,0.41,0.22,0.538,0.96,0.615,0.5,0.385,1.63,0.026,0.359,0.205,0.026,0.256,0,0.077,2022
16,CIN,5,38,0.237,0.23,0.763,0.33,0.316,0.29,0.684,0.32,0.079,0.132,0.105,0.026,0.158,0.289,0.211,2022
17,LAC,5,38,0.289,0.22,0.579,0.55,0.579,0.42,0.421,0.33,0.026,0.237,0.026,0.026,0.289,0.237,0.026,2022
18,MIA,5,36,0.083,-0.01,0.889,0.14,0.361,0.09,0.639,0.15,0,0.083,0.028,0,0.278,0.417,0.167,2022
19,CLE,5,36,0.472,0.29,0.472,0.4,0.611,0.35,0.389,0.53,0.028,0.444,0,0,0.194,0.083,0.194,2022
20,BAL,5,35,0.371,0.12,0.543,0.23,0.571,0.46,0.429,0.08,0.171,0.2,0,0,0.343,0.171,0.029,2022
21,ATL,5,34,0.294,0.2,0.706,0.46,0.559,0.18,0.441,0.65,0,0.206,0.147,0.088,0.353,0.176,0.029,2022
22,LV,5,33,0.091,0.17,0.758,0.2,0.152,0.18,0.818,0.63,0.061,0.03,0.303,0,0.121,0.273,0.061,2022
